Rank,Category Name,Core Area,Severity Level,Troubleshooting Context
1,Payment Gateway Configurations,Payments,High,"Failures linking Shopify Payments, PayPal, or third-party providers."
2,Checkout Extensibility Upgrades,Checkout,Critical,Bugs or layout breaks when upgrading from checkout.liquid to extensibility.
3,Multi-Currency Conversion Pricing,Payments,High,Incorrect currency displays or rounding discrepancies at checkout.
4,Subscription Billing Failures,Payments,High,Recurring payment token errors or automated order generation drops.
5,Abandoned Cart Recovery Links,Checkout,Medium,Broken checkout restoration links sent via automation emails.
6,Discount Code Logic Errors,Checkout,Medium,Stacking restrictions failing or automatic discount codes not triggering.
7,Fraud Control & False Positives,Payments,High,Valid transactions being blocked or high-risk flags failing to alert.
8,Shipping Rate API Discrepancies,Checkout,High,Carrier-provided rates failing to display or mismatching at checkout.
9,Local Pickup Setup Glitches,Checkout,Medium,Locations showing unavailable despite local stock matching availability.
10,Tax Calculation Discrepancies,Payments,High,Avalara or native engine miscalculating regional or international duties.
11,B2B Draft Order Checkouts,Checkout,High,Company account custom pricing or net terms terms failing at checkout.
12,Digital Product Download Delivery,Checkout,Medium,Fulfillment triggers failing to dispatch digital access links immediately.
13,Gift Card Balance Processing,Payments,Medium,Partial-redemption loops or manual balance adjustments failing to save.
14,Point of Sale (POS) Sync Drops,Payments,High,Hardware reader payment drops or physical transaction data sync delays.
15,Tipping & Donation Checkout Fields,Checkout,Low,Checkbox triggers failing to append correct order line-item values.
16,Buy Now Pay Later (BNPL) Delays,Payments,High,"Klarna, Affirm, or Shop Pay Installments transaction confirmation hanging."
17,Flash Sale High-Volume Throttling,Checkout,Critical,Queue system bypass issues or transaction lock timeouts under load.
18,Fraud Filter App Exclusions,Payments,Medium,Rules blocking white-listed corporate card domains or accounts.
19,Address Validation Refusals,Checkout,Medium,Google Maps autocomplete api failing or rejecting formatted regional inputs.
20,Secure Checkout SSL Handshakes,Checkout,Critical,Intermittent security warnings blocking custom domain checkout routes.
21,Express Checkout Button Alignment,Checkout,Medium,Apple Pay/Google Pay buttons jumping layouts on mobile views.
22,Refund and Restock Glitches,Payments,High,Gateway communication timeouts during partial or total automated returns.
23,Custom Order Note Disappearances,Checkout,Medium,Cart attributes failing to pass safely into the order JSON object.
24,Duties & Import Fee Estimates,Payments,High,Cross-border landed cost calculations breaking for DDP delivery.
25,Payment Capture Hold Expirations,Payments,High,Manual capture timelines expiring before warehouse fulfillment finishes.
26,Customer Account Login Requirements,Checkout,Medium,Forced sign-in loops preventing guest users from finalizing cart checks.
27,Test Mode Transaction Cleanups,Payments,Low,Bogus Gateway remaining active or test orders mixing with analytics data.
28,Wholesale Volume Tier Discounts,Checkout,High,Quantity break tables failing to update line-item prices dynamically.
29,Localized Checkout Translation Drops,Checkout,Medium,Fields reverting to default English despite multi-market localization.
30,Cookie Consent Checkout Blocks,Checkout,High,GDPR banner blocking script loads for checkout tracking integrations.
31,Liquid Syntax Parsing Errors,Theme,High,"Fatal visual breaks caused by missing tags, unclosed loops, or broken logic."
32,JSON Template Schema Corruption,Theme,High,Section settings failing to save or blocking the Theme Editor layout UI.
33,Mobile Responsiveness Breaks,Theme,Medium,Navigation menus or product grids breaking aspect ratios on screens.
34,Ajax Cart Drawer Freezes,Theme,High,Slide-out carts failing to update quantities or spin endless loader icons.
35,Product Image Layout Shifts,Theme,Medium,Cumulative Layout Shift (CLS) issues on media galleries or mobile devices.
36,Typography & Font Loading Failures,Theme,Low,Custom Adobe or Google web fonts dropping or displaying fallback fonts.
37,Mega-Menu Navigation Drops,Theme,Medium,Nested link menus failing to expand or dropping child items on desktop hover.
38,CSS/JS Asset Loading Delays,Theme,Medium,Render-blocking scripts slowing down the Initial Server Response times.
39,Collection Grid Filter Drops,Theme,Medium,Native Search & Discovery filters failing to dynamically refresh arrays.
40,Theme Upgrade Version Conflicts,Theme,High,Customized layout blocks wiping out when updating OS 2.0 themes.
41,Video Background Aspect Distortions,Theme,Low,Hero banner videos cropping improperly or looping with long black screens.
42,Sticky Header Overlap Glitches,Theme,Low,Fixed navigation covering content blocks or interactive elements during scroll.
43,Color Swatch Asset Discrepancies,Theme,Medium,Variant-linked swatches showing blank circles or mapping to wrong HEX colors.
44,Product Description Accordion Collapses,Theme,Low,Tabs or toggle modules breaking and displaying plain unformatted text block.
45,Infinite Scroll Pagination Freezes,Theme,Medium,Collection page script crashing instead of fetching subsequent page loops.
46,Quick View Modal Visual Breaks,Theme,Medium,Pop-up product previews showing misaligned data or broken close triggers.
47,Custom Liquid Section Stripping,Theme,Medium,Shopify code sanitizers removing custom embedded scripts or iframe blocks.
48,Dark Mode Style Inversions,Theme,Low,Text layers remaining black on dark backgrounds causing invisible legibility.
49,Breadcrumb Traversal Path Drops,Theme,Low,Hierarchical link trails dropping sub-collections or linking to root indexes.
50,Cart Count Bubble Desyncs,Theme,Medium,Header count indicators showing zero items despite heavy item additions.
